category,avg_search_volume,top_growth_keyword_30d,top_growth_value_30d
related,82.5,"갓생 루틴 루티너리 - 하루 습관 계획표, 투두리스트",577.5227155413411
autocomplete,2608.0,갓생 루틴,42.10526
